BitNet Installation Log - Wed 03/19/2025  3:42:31.66 
[Wed 03/19/2025  3:42:31.66] Installation started 
[Wed 03/19/2025  3:42:31.70] Checking and installing prerequisites 
[Wed 03/19/2025  3:42:31.79] ERROR: Git clone failed 
[Wed 03/19/2025  3:42:31.80] Conda not found, installing Miniconda... 
[Wed 03/19/2025  3:42:31.81] Downloading Miniconda installer (Attempt 0 of 3) 
[Wed 03/19/2025  3:42:42.41] ERROR: Model setup failed 
[Wed 03/19/2025  3:42:42.41] Attempting alternative download method for Miniconda 
[Wed 03/19/2025  3:42:42.42] Downloading Miniconda (specific version) installer (Attempt 0 of 3) 
[Wed 03/19/2025  3:42:51.79] Miniconda (specific version) installer downloaded successfully 
[Wed 03/19/2025  3:42:51.80] ERROR: Failed to download Miniconda installer after multiple attempts 
[Wed 03/19/2025  3:42:51.81] Checking and installing prerequisites 
[Wed 03/19/2025  3:42:52.76] ERROR: Miniconda installation failed 
[Wed 03/19/2025  3:42:52.77] Conda not found, installing Miniconda... 
[Wed 03/19/2025  3:42:52.78] Downloading Miniconda installer (Attempt 0 of 3) 
